Row ID,State / UT,Cause Of Suicide,Male,Female,Transgender,Total
1,Andaman & Nicobar Islands,Sleeping Pills,0,0,0,0
2,Andaman & Nicobar Islands,Drowning,2,1,0,3
3,Andaman & Nicobar Islands,Fire / Self-Immolation,1,2,0,3
4,Andaman & Nicobar Islands,Fire Arms,0,0,0,0
5,Andaman & Nicobar Islands,Hanging,99,25,0,124
6,Andaman & Nicobar Islands,Poison,5,3,0,8
7,Andaman & Nicobar Islands,Jumping,0,0,0,0
8,Andaman & Nicobar Islands,Coming Under Running Vehicles / Trains,0,0,0,0
9,Andaman & Nicobar Islands,Touching Live Electric Wire,0,0,0,0
10,Andaman & Nicobar Islands,By Other Means,0,0,0,0
11,Andhra Pradesh,Sleeping Pills,11,11,0,22
12,Andhra Pradesh,Drowning,161,86,0,247
13,Andhra Pradesh,Fire / Self-Immolation,125,149,0,274
14,Andhra Pradesh,Fire Arms,7,5,0,12
15,Andhra Pradesh,Hanging,1145,538,1,1684
16,Andhra Pradesh,Poison,1630,889,1,2190
17,Andhra Pradesh,Jumping,60,5,0,65
18,Andhra Pradesh,Coming Under Running Vehicles / Trains,482,62,1,545
19,Andhra Pradesh,Touching Live Electric Wire,41,13,0,54
20,Andhra Pradesh,By Other Means,160,75,1,263
21,Arunachal Pradesh,Sleeping Pills,0,0,0,0
22,Arunachal Pradesh,Drowning,7,0,0,7
23,Arunachal Pradesh,Fire / Self-Immolation,0,0,0,0
24,Arunachal Pradesh,Fire Arms,1,0,0,1
25,Arunachal Pradesh,Hanging,26,26,0,52
26,Arunachal Pradesh,Poison,4,2,0,6
27,Arunachal Pradesh,Jumping,2,0,0,2
28,Arunachal Pradesh,Coming Under Running Vehicles / Trains,0,0,0,0
29,Arunachal Pradesh,Touching Live Electric Wire,0,0,0,0
30,Arunachal Pradesh,By Other Means,19,2,0,21
31,Assam,Sleeping Pills,28,12,0,40
32,Assam,Drowning,95,31,0,126
33,Assam,Fire / Self-Immolation,6,9,0,15
34,Assam,Fire Arms,16,15,0,31
35,Assam,Hanging,847,369,0,1216
36,Assam,Poison,177,62,0,239
37,Assam,Jumping,2,2,0,4
38,Assam,Coming Under Running Vehicles / Trains,43,21,0,64
39,Assam,Touching Live Electric Wire,18,6,0,24
40,Assam,By Other Means,353,159,0,512
41,Bihar,Sleeping Pills,10,16,0,26
42,Bihar,Drowning,12,29,0,41
43,Bihar,Fire / Self-Immolation,6,4,0,10
44,Bihar,Fire Arms,0,1,0,1
45,Bihar,Hanging,105,90,0,195
46,Bihar,Poison,46,31,0,77
47,Bihar,Jumping,12,0,0,12
48,Bihar,Coming Under Running Vehicles / Trains,0,0,0,0
49,Bihar,Touching Live Electric Wire,2,3,0,5
50,Bihar,By Other Means,3,3,0,6
51,Chandigarh,Sleeping Pills,0,0,0,0
52,Chandigarh,Drowning,1,0,0,1
53,Chandigarh,Fire / Self-Immolation,0,0,0,0
54,Chandigarh,Fire Arms,1,0,0,1
55,Chandigarh,Hanging,54,30,0,84
56,Chandigarh,Poison,21,6,0,27
57,Chandigarh,Jumping,0,0,0,0
58,Chandigarh,Coming Under Running Vehicles / Trains,0,0,0,0
59,Chandigarh,Touching Live Electric Wire,0,0,0,0
60,Chandigarh,By Other Means,0,0,0,0
61,Chhattisgarh,Sleeping Pills,7,1,0,8
62,Chhattisgarh,Drowning,18,7,0,25
63,Chhattisgarh,Fire / Self-Immolation,128,339,0,467
64,Chhattisgarh,Fire Arms,11,0,0,11
65,Chhattisgarh,Hanging,2748,795,0,3543
66,Chhattisgarh,Poison,1060,584,0,1644
67,Chhattisgarh,Jumping,56,22,0,78
68,Chhattisgarh,Coming Under Running Vehicles / Trains,95,22,0,117
69,Chhattisgarh,Touching Live Electric Wire,21,3,0,24
70,Chhattisgarh,By Other Means,257,110,0,367
71,Dadra & Nagar Haveli,Sleeping Pills,0,0,0,0
72,Dadra & Nagar Haveli,Drowning,1,0,0,1
73,Dadra & Nagar Haveli,Fire / Self-Immolation,1,0,0,1
74,Dadra & Nagar Haveli,Fire Arms,0,0,0,0
75,Dadra & Nagar Haveli,Hanging,42,18,0,60
76,Dadra & Nagar Haveli,Poison,4,7,0,11
77,Dadra & Nagar Haveli,Jumping,2,0,0,2
